Price,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-27,168.77682495117188,125.9800033569336,129.6457977294922,308.1462707519531,240.5,171.36150860467507,127.4800033569336,130.00333234503205,309.6338325713444,245.3300018310547,167.41022120055555,124.12999725341797,127.68930612014735,305.0922879071992,234.5800018310547,170.94558441007192,125.76000213623047,127.68930612014735,307.6635249378913,244.25999450683594,66921800,66553400,22746500,19410100,136597200
2023-09-28,169.03433227539062,125.9800033569336,131.40367126464844,308.983642578125,246.3800048828125,170.36133082824708,126.58000183105469,132.38689519915357,310.7963219055671,247.5500030517578,165.9941036111019,123.04000091552734,128.90092907498644,304.85584588034675,238.64999389648438,167.69742105029528,124.04000091552734,128.9505896047775,306.3729610383482,240.02000427246094,56294400,54555000,22513100,19683600,117058900
2023-09-29,169.54928588867188,127.12000274658203,129.96363830566406,311.06231689453125,250.22000122070312,171.39124466953126,129.14999389648438,133.1317899299604,314.72709028665287,254.77000427246094,168.68771453081845,126.31999969482422,129.46706319600682,310.30375928067184,246.35000610351562,170.35142654777866,128.1999969482422,132.36706001789275,313.0326245233169,250.0,51861100,62411700,30859800,24147300,128522700
2023-10-02,172.0646209716797,129.4600067138672,133.25096130371094,317.02252197265625,251.60000610351562,172.60928898108386,130.47000122070312,133.49924885517964,317.11121228293786,254.27999877929688,169.27196778388654,126.54000091552734,130.27151068608651,310.50080778027524,242.6199951171875,169.55916323919894,127.27999877929688,130.31124518071243,311.58448311386843,244.80999755859375,52164500,48029700,22288000,20570000,123810400
2023-10-03,170.7277374267578,124.72000122070312,131.52285766601562,308.7373352050781,246.52999877929688,171.94581747397606,128.52000427246094,133.34032412879503,316.6185648747961,250.02000427246094,169.1630765091389,124.25,130.93690275652745,306.58967727105596,244.4499969482422,170.589096012129,128.05999755859375,133.0225239837871,316.066851138571,248.61000061035156,49594600,51565000,22989400,21033500,101985300
2023-10-04,171.9755096435547,127.0,134.3136444091797,314.224609375,261.1600036621094,172.5201776911012,127.36000061035156,134.64138580810248,315.2885921855911,261.8599853515625,169.31160010164683,125.68000030517578,131.62220058096094,309.33825553994615,247.60000610351562,169.43043127173715,126.05999755859375,131.88041418877737,309.36780894776786,248.13999938964844,53020300,44203900,26752300,20720100,129721600
2023-10-05,173.21339416503906,125.95999908447266,134.144775390625,314.61871337890625,260.04998779296875,173.74814957044222,126.7300033569336,134.5618965647018,315.2295340089772,263.6000061035156,171.00501406167223,124.33000183105469,132.5358621143103,310.2249357059366,256.25,172.1042477774046,126.70999908447266,134.144775390625,314.3527326674706,260.0,48527900,39660600,19832600,16965600,119159200
2023-10-06,175.7683563232422,127.95999908447266,136.63760375976562,322.4014587402344,260.5299987792969,176.26350633418187,128.4499969482422,137.2136326834235,324.3027984562463,261.6499938964844,171.50015053588783,124.12999725341797,133.09205033852737,311.6041508921413,250.64999389648438,172.1141468247828,124.16000366210938,133.09205033852737,311.8504393547701,253.97999572753906,57266700,46836700,27597600,25673600,118121800
2023-10-09,177.25381469726562,128.25999450683594,137.4718475341797,324.9234313964844,259.6700134277344,177.3132302836497,128.7899932861328,137.98828987637378,325.3962859760922,261.3599853515625,174.09475506108697,124.76000213623047,134.68109792388904,318.3819957765028,252.0500030517578,175.09495269037185,126.22000122070312,136.00198949560956,319.9286944478217,255.30999755859375,42390800,38773700,19278100,19891200,101377900
2023-10-10,176.6596221923828,129.47999572753906,137.1143035888672,323.5146789550781,263.6199951171875,177.9767230488949,130.74000549316406,138.76293643045838,326.1844374022075,268.94000244140625,176.22388776036024,128.0500030517578,136.3893082421022,322.80536699864604,257.6499938964844,176.3724418317021,128.82000732421875,137.55129206777264,326.0465014357721,257.75,43698000,42178600,27786600,20557100,122656000
2023-10-11,178.05593872070312,131.8300018310547,139.58726501464844,327.4848327636719,262.989990234375,178.10545674166264,132.0500030517578,140.14342670743898,327.87888826275554,268.6000061035156,175.8772817954906,129.61000061035156,137.63075788905127,324.25352956797366,260.8999938964844,176.4714527146694,129.74000549316406,137.63075788905127,326.2927750434713,266.20001220703125,47551100,40741800,25884300,20063200,103706300
2023-10-12,178.95712280273438,132.3300018310547,138.01809692382812,326.2435302734375,258.8699951171875,180.57130155585352,134.47999572753906,140.252685074874,328.67686131918805,265.4100036621094,177.30330847610173,131.22999572753906,137.31295355050784,323.8397526385864,256.6300048828125,178.3233313959954,132.1699981689453,140.08385134419635,325.662293149409,262.9200134277344,56743100,55528600,24765500,19313100,111508100
2023-10-13,177.1151885986328,129.7899932861328,136.41909790039062,322.8643798828125,251.1199951171875,180.16529977566205,133.30999755859375,139.0410135497291,328.873792413959,259.6000061035156,176.41206884050376,128.9499969482422,135.68416137323422,321.5146942813599,250.22000122070312,179.6602521369707,132.97999572753906,138.42526533908884,327.445337822334,258.8999938964844,51427100,45786600,23420500,21072400,102073800
2023-10-16,176.98641967773438,132.5500030517578,138.14718627929688,327.7015686035156,253.9199981689453,177.34292828713865,133.07000732421875,138.67355462493762,331.14960684186315,255.39999389648438,174.79784999846225,130.42999267578125,137.04478905169177,325.69184646938805,248.47999572753906,175.0355274416581,130.69000244140625,137.22354879733518,326.1351476327568,250.0500030517578,52517000,42832900,28501900,22158000,88917200
2023-10-17,175.43167114257812,131.47000122070312,138.76295471191406,327.13018798828125,254.85000610351562,176.6893566043469,132.5800018310547,138.94171448359813,328.5093973778692,257.17999267578125,173.10447478206885,128.7100067138672,136.24034458016837,322.54922855719866,247.0800018310547,174.9365210517317,130.38999938964844,137.6804245719955,324.69685675416497,250.10000610351562,57549400,49344600,23515800,18338500,93562900
2023-10-18,174.13436889648438,128.1300048828125,137.01499938964844,325.2091064453125,242.67999267578125,175.85749653944856,130.6699981689453,139.75608830865576,330.60776009184275,254.6300048828125,173.4114540423014,127.51000213623047,136.4389704924277,323.4259804727019,242.0800018310547,173.87689630601963,129.89999389648438,138.4947833931161,327.553777299333,252.6999969482422,54764400,42699500,23375000,23153600,125147800
2023-10-19,173.75807189941406,128.39999389648438,136.8064422607422,326.4011535644531,220.11000061035156,176.11497599372035,132.24000549316406,138.70336281042037,331.87860610828534,230.61000061035156,173.49068662646167,127.47000122070312,136.43898153017037,325.99723691191247,216.77999877929688,174.33243269200634,130.57000732421875,137.55130492277888,327.2188179633477,225.9499969482422,59302900,60961400,26066000,25052100,170772700
2023-10-20,171.2030792236328,125.16999816894531,134.67115783691406,321.8201904296875,211.99000549316406,173.71843472751576,128.1699981689453,136.92559762296315,326.9922476443287,218.86000061035156,170.96540176933075,124.97000122070312,134.15471554856344,320.6183016458001,210.4199981689453,173.60950111647477,128.0500030517578,136.38930324394852,326.7952048674921,217.00999450683594,64244000,56406400,26335700,25027700,138010100
2023-10-23,171.32192993164062,126.55999755859375,135.56500244140625,324.43084716796875,212.0800018310547,172.3221276665047,127.87999725341797,136.7170603116326,327.79022513571806,216.97999572753906,168.28170114730867,123.9800033569336,133.0324663979107,319.57404629112153,202.50999450683594,169.25220619662628,124.62999725341797,134.11499648001524,320.63799913570296,210.0,55980100,48260000,26317900,24374700,150683400
2023-10-24,171.7576446533203,128.55999755859375,137.8591766357422,325.62286376953125,216.52000427246094,171.98540943587548,128.8000030517578,138.40541227579737,326.9134127609565,222.0500030517578,169.78694209599936,126.33999633789062,136.47869846593147,322.73637053310733,214.11000061035156,171.3714282347356,127.73999786376953,136.88589368436072,326.38142132445483,216.5,43816600,46477400,44814300,31153600,118231100
2023-10-25,169.4403839111328,121.38999938964844,124.74958038330078,335.61236572265625,212.4199981689453,171.38136399742254,126.33999633789062,127.43108253036509,341.0602651549816,220.10000610351562,168.99473669661464,120.79000091552734,124.21327843846119,332.607628527267,212.1999969482422,170.21281692048242,126.04000091552734,127.28211608218771,339.8977607961559,215.8800048828125,57157000,74577500,84366200,55053800,107065100
2023-10-26,165.27117919921875,119.56999969482422,121.44239807128906,323.0221252441406,205.75999450683594,169.71763198356828,121.63999938964844,123.47835889189942,336.558130148408,214.8000030517578,164.06301189675906,118.3499984741211,120.43931430693331,322.08621701756,204.8800048828125,168.71741923518283,120.62999725341797,122.42561458962273,335.48431600999555,211.32000732421875,70625300,100419500,57061100,37828500,115112600
2023-10-27,166.58828735351562,127.73999786376953,121.33314514160156,324.9136047363281,207.3000030517578,167.321114882013,130.02000427246094,122.46533564236815,331.7210217801317,212.41000366210938,165.2117707914918,125.5199966430664,119.38657186700053,323.5245341322268,205.77000427246094,165.29099661436564,126.19999694824219,122.0382807989468,325.52439534284554,210.60000610351562,58499100,125309300,44566500,29856500,94881200
2023-10-30,168.63818359375,132.7100067138672,123.60746765136719,332.30224609375,197.36000061035156,169.5096524459554,133.0,124.54103122378429,334.41048978500254,210.8800048828125,167.23195938000526,128.55999755859375,121.90918179187298,326.9035921180138,194.6699981689453,167.38051344932887,129.72000122070312,122.36602995491228,328.4601520528565,209.27999877929688,51131000,72485500,28940100,22828100,136448200
2023-10-31,169.11354064941406,133.08999633789062,123.2300796508789,333.09033203125,200.83999633789062,169.24226937820893,133.57000732421875,124.51124432870175,333.9671333314319,202.8000030517578,166.27136928302133,131.7100067138672,121.8496014676639,329.7211229204908,194.07000732421875,167.70731641765212,132.75,124.20336261171083,333.81936627648764,196.1199951171875,44846000,51589400,26292300,20265300,118068300
2023-11-01,172.28248596191406,137.0,125.58383178710938,340.93218994140625,205.66000366210938,172.53995851269775,137.35000610351562,125.62355870184368,342.2621536122384,205.99000549316406,168.4698250558493,133.7100067138672,122.87253615641731,334.6074891841975,197.85000610351562,169.34129385969914,133.9600067138672,123.22013718892472,334.74542515005817,204.0399932861328,56934900,61529400,30082400,28158800,121661700
2023-11-02,175.84759521484375,138.07000732421875,126.61671447753906,343.1487731933594,218.50999450683594,176.05554977286621,138.80999755859375,128.09650612590542,343.6511811792391,219.1999969482422,173.75806140886317,136.47000122070312,126.06055280075913,339.65145922211735,211.4499969482422,173.8174769968696,138.72999572753906,127.54034444912548,342.0847902707167,212.97000122070312,77334800,52236700,27124600,24348100,125987600
2023-11-03,174.93649291992188,138.60000610351562,128.21568298339844,347.5622253417969,219.9600067138672,175.10485722122255,139.49000549316406,128.6427302490581,349.12864623567805,226.3699951171875,171.66851493448934,137.4499969482422,126.98417141335472,342.1734332140444,218.39999389648438,172.5498813500308,138.99000549316406,127.14307906515411,344.43930484102884,221.14999389648438,79829200,44059800,26393100,23637700,119534800
2023-11-06,177.49147033691406,139.74000549316406,129.3577880859375,351.2368469238281,219.27000427246094,177.6895273209714,140.72999572753906,129.44716794931844,352.2318617799553,226.32000732421875,174.50077512285628,138.36000061035156,127.78860926031781,348.1040653780775,215.0,174.66912431484397,138.75999450683594,128.16601111139252,348.2025867608286,223.97999572753906,63841300,44970400,19052700,23828300,117335800
2023-11-07,180.05636596679688,142.7100067138672,130.07286071777344,355.1775207519531,222.17999267578125,180.67034717470034,143.3699951171875,131.00642417120397,357.0788604906001,223.1199951171875,177.23400472320088,140.5,128.99033082146218,352.3205805643499,215.72000122070312,177.44195927584823,140.5500030517578,129.81464716535797,354.0642920772967,219.97999572753906,70530000,53553500,29757300,25833900,116900100
2023-11-08,181.11598205566406,142.0800018310547,130.93692016601562,357.8078308105469,222.11000061035156,181.67054768588966,143.1199951171875,131.30439604894627,358.46786694409883,224.14999389648438,179.82858892219454,141.22000122070312,129.88418336716097,355.19714949082766,217.63999938964844,180.5812266581694,142.97000122070312,130.0728843319122,356.3103779664203,223.14999389648438,49340300,44521700,26425800,26767800,106584800
2023-11-09,180.640625,140.60000610351562,129.34788513183594,355.3351135253906,209.97999572753906,182.33402952271553,142.64999389648438,131.64205962708724,359.3742499704996,220.8000030517578,180.04643896103886,139.83999633789062,129.17905141944397,355.0099959471622,206.67999267578125,181.18529301725127,142.02000427246094,131.05610465685587,356.92119665439174,219.75,53763500,36235400,23747800,24847300,142110500
2023-11-10,184.83511352539062,143.55999755859375,131.6817626953125,364.1817932128906,214.64999389648438,185.00369964258533,143.64999389648438,131.8903308755952,364.60540210202504,215.3800048828125,181.989212824357,139.91000366210938,128.5235527815123,355.7094651076726,205.69000244140625,182.42552132152326,140.4600067138672,129.20882874695465,356.1232128388484,210.02999877929688,66133400,49287800,26913300,28042100,130994000
2023-11-13,183.24856567382812,142.58999633789062,131.18521118164062,361.2362060546875,223.7100067138672,184.46823531200093,143.22999572753906,131.6817863001911,362.99963986206404,225.39999389648438,182.66352248721634,140.6699981689453,130.3509686195006,360.4677872552205,211.61000061035156,184.26000678217753,142.0800018310547,130.87733703282254,362.75335139986936,215.60000610351562,43627500,35680600,18324800,19986500,140447600
2023-11-14,185.8664093017578,145.8000030517578,132.70472717285156,364.7728271484375,237.41000366210938,186.53078271340215,147.25999450683594,134.7704814431392,366.42790811124814,238.13999938964844,184.7359804157126,144.67999267578125,132.4067942311074,361.89619535821294,230.72000122070312,186.1242211071054,145.0,133.27083007070482,365.5018612852778,235.02999877929688,60108400,56674600,32395200,27683900,149771600
2023-11-15,186.43161010742188,143.1999969482422,133.69786071777344,364.9209899902344,242.83999633789062,187.90910668353808,147.2899932861328,134.10505589307232,368.33653212587393,246.6999969482422,186.20354524355434,142.58999633789062,132.65506524316734,362.39384971370214,236.4499969482422,186.2729648412074,147.05999755859375,133.94614824111162,366.5102924140752,239.2899932861328,53790500,63875700,23861500,26860100,150354000
2023-11-16,188.11734008789062,142.8300018310547,135.99205017089844,371.33746337890625,233.58999633789062,189.35684600106327,143.32000732421875,136.28007221647312,371.5151437395558,240.8800048828125,187.06622636374277,139.52000427246094,133.3999426863431,365.4243947338304,230.9600067138672,187.9785160308428,140.91000366210938,134.26397851452822,366.19437308883926,239.49000549316406,54412900,49653500,28013200,27182300,136816800
2023-11-17,188.09750366210938,145.17999267578125,134.38314819335938,365.0986633300781,234.3000030517578,188.78171334674664,145.22999572753906,135.12801082704152,369.56058551454436,237.38999938964844,186.98691120628507,142.5399932861328,132.73451526045164,362.2852703283084,226.5399932861328,188.65279989002153,142.66000366210938,135.06842424103002,368.81033934726474,232.0,50922700,49636700,37240600,40157000,142532800
